0000003847	7752336775	STOWARZYSZENIE ''MAMY WIELKIE SERCA''	ŁÓDZKIE	ŁĘCZYCKI	ŚWINICE WARCKIE	ŚWINICE WARCKIE
0000003866	7221455464	STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH ''NATURA''	PODLASKIE	WYSOKOMAZOWIECKI	CIECHANOWIEC	KOZARZE
0000003884		STOWARZYSZENIE SPOŁECZNO-KULTURALNE ''SŁAWINEK''	LUBELSKIE	M. LUBLIN	M. LUBLIN	LUBLIN
0000003905		LUDOWY KLUB SPORTOWY ''CENTRA'' W OSTROWIE WIELKOPOLSKIM	WIELKOPOLSKIE	OSTROWSKI	OSTRÓW WIELKOPOLSKI	OSTRÓW WIELKOPOLSKI
0000003968		STOWARZYSZENIE NA RZECZ REHABILITACJI PSYCHIATRYCZNEJ	PODLASKIE	M. BIAŁYSTOK	M. BIAŁYSTOK	BIAŁYSTOK
0000004001		TOWARZYSTWO ROZWOJU POWIATU NOWODWORSKIEGO	POMORSKIE	NOWODWORSKI	NOWY DWÓR GDAŃSKI	NOWY DWÓR GDAŃSKI
0000004022	7271045946	KLUB SPORTOWY ''ORZEŁ'' ŁÓDŹ	ŁÓDZKIE	M. ŁÓDŹ	ŁÓDŹ-POLESIE	ŁÓDŹ
0000004050		ZIEMIA I MY CENTRUM EDUKACJI EKOLOGICZNEJ	ŚLĄSKIE	M. DĄBROWA GÓRNICZA	M. DĄBROWA GÓRNICZA	DĄBROWA GÓRNICZA
0000004066	8681715401	LUDOWY KLUB SPORTOWY ''PIAST'' ŁAPANÓW	MAŁOPOLSKIE	BOCHEŃSKI	ŁAPANÓW	ŁAPANÓW
0000004129	6412186767	STOWARZYSZENIE OPIEKI HOSPICYJNEJ I PALIATYWNEJ IM.JANA PAWŁA II W RUDZIE ŚLĄSKIEJ	ŚLĄSKIE	M. RUDA ŚLĄSKA	M. RUDA ŚLĄSKA	RUDA ŚLĄSKA
0000004293		STOWARZYSZENIE OCHRONY I POMOCY RODZINIE ALKOHOLOWEJ ''SOPRA''	LUBELSKIE	M. LUBLIN	M. LUBLIN	LUBLIN
0000004316		STOWARZYSZENIE KULTURALNE ''VIVA ART'' W ELBLĄGU	WARMIŃSKO-MAZURSKIE	M. ELBLĄG	M. ELBLĄG	ELBLĄG
0000004478		STOWARZYSZENIE RODZICÓW I OPIEKUNÓW OSÓB UPOŚLEDZONYCH UMYSŁOWO ''WIARA I NADZIEJA''	MAZOWIECKIE	M.ST. WARSZAWA	M.ST. WARSZAWA	WARSZAWA
0000004502		''STOWARZYSZENIE POMOCY DZIECIOM NIEPEŁNOSPRAWNYM ''ŚWIETLIK'' W PIŃCZOWIE''	ŚWIĘTOKRZYSKIE	PIŃCZOWSKI	PIŃCZÓW	SKOWRONNO DOLNE
0000004507		ZABRZAŃSKIE TOWARZYSTWO RODZICÓW, OPIEKUNÓW I PRZYJACIÓŁ DZIECI SPECJALNEJ TROSKI W ZABRZU	ŚLĄSKIE	M. ZABRZE	M. ZABRZE	ZABRZE
0000004522		LUBELSKIE HOSPICJUM DLA DZIECI IM. MAŁEGO KSIĘCIA	LUBELSKIE	M. LUBLIN	M. LUBLIN	LUBLIN
0000004540		STOWARZYSZENIE PERSONA NA RZECZ PROMOCJI I OCHRONY ZDROWIA PSYCHICZNEGO Z SIEDZIBĄ   W RACIBORZU	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000004561		GLIWICKIE STOWARZYSZENIE TANECZNO SPORTOWE SZOK - GLIWICE	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000004562	6411899560	REGIONALNE STOWARZYSZENIE NA RZECZ OSÓB AUTYSTYCZNYCH I ICH RODZIN	ŚLĄSKIE	M. KATOWICE	M. KATOWICE	KATOWICE
0000004629		OCHOTNICZA STRAŻ POŻARNA W KOŹMINKU	WIELKOPOLSKIE	KALISKI	KOŹMINEK	KOŹMINEK
0000004674		STOWARZYSZENIE MIŁOŚNIKÓW 600- LETNIEGO BIERUNIA	ŚLĄSKIE	TYSKI	BIERUŃ	BIERUŃ
0000004694	6391709897	STOWARZYSZENIE GMIN DORZECZA GÓRNEJ ODRY Z SIEDZIBĄ W RACIBORZU	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000004746	8851355486	''NASZA NADZIEJA - STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH''	DOLNOŚLĄSKIE	KŁODZKI	KŁODZKO	NOWA RUDA
0000004792		STOWARZYSZENIE OŚWIATOWO - WYCHOWAWCZE W PIERZCHNICY	ŚWIĘTOKRZYSKIE	KIELECKI	PIERZCHNICA	PIERZCHNICA
0000004836	7292253058	STOWARZYSZENIE PROFILAKTYCZNO- WYCHOWAWCZE ''FENIX''	ŁÓDZKIE	M. ŁÓDŹ	ŁÓDŹ-BAŁUTY	ŁÓDŹ
0000004868		STOWARZYSZENIE NA RZECZ ZWALCZANIA CHORÓB UKŁADU ODDECHOWEGO	ŚLĄSKIE	M. ZABRZE	M. ZABRZE	ZABRZE
0000004879		STOWARZYSZENIE ''RZESZOWSKI KLUB AMAZONKA''	PODKARPACKIE	M. RZESZÓW	M. RZESZÓW	RZESZÓW
0000004920		SIEMIANOWICKIE STOWARZYSZENIE ''WZAJEMNA POMOC''	ŚLĄSKIE	M. SIEMIANOWICE ŚLĄSKIE	M. SIEMIANOWICE ŚLĄSKIE	SIEMIANOWICE ŚLĄSKIE
